HISCO,HISCAM
1100,82.82
1110,82.82
1190,82.82
1200,82.82
1210,79.669998
1300,79.669998
1340,82.82
1400,62.439999
1420,79.669998
1430,79.669998
2000,99
2100,81.75
2120,85.370003
2130,85.129997
2140,67.129997
2200,81.75
2210,84.5
2220,81.75
2230,81.75
2240,85.370003
2245,81.75
2255,69.699997
2290,91.209999
2300,81.75
2305,85.779999
2310,67.129997
2400,81.75
2410,81.75
2430,81.75
2450,81.75
2460,81.75
2510,85.370003
2620,67.129997
2700,81.75
2710,81.75
2740,81.75
2900,90.019997
2930,81.75
2990,81.75
3000,80.68
3010,80.68
3020,83.790001
3022,81.75
3030,81.75
3040,80.809998
3090,85.370003
3100,67.129997
3110,67.129997
3120,65.019997
3130,67.129997
3140,67.129997
3150,81.75
3160,67.129997
3170,81.75
3180,67.129997
3200,70.360001
3300,70.480003
3310,70.480003
3320,81.75
3330,85.370003
3340,81.75
3390,73.209999
3405,76.459999
3490,81.75
3510,72.089996
3520,81.75
3540,81.75
3550,81.75
3590,67.129997
3620,81.75
3720,81.75
3930,81.75
4100,53.470001
4120,53.470001
4125,53.470001
4130,53.470001
4140,53.470001
4200,53.470001
4215,75.220001
4217,53.470001
4220,56.950001
4230,64.900002
4240,62.860001
4250,54.93
4290,53.470001
4320,54.93
5100,89.309998
5110,89.309998
5120,89.309998
5190,89.309998
5230,89.309998
5260,89.309998
5320,89.309998
5330,89.309998
5340,89.309998
5360,89.309998
5390,89.309998
5400,89.309998
5420,89.309998
6100,99
6105,99
6110,99
6120,99
6130,99
6140,99
6190,99
6210,57.709999
6300,89.309998
6310,98.849998
6320,94.629997
6420,57.709999
6500,73.449997
6510,73.449997
6520,94.629997
6590,94.629997
6700,94.949997
6710,94.949997
6810,57.709999
6910,57.709999
6990,57.709999
7100,57.709999
7110,57.709999
7130,57.709999
7200,68.400002
7210,57.709999
7300,68.400002
7310,57.709999
7410,57.709999
7500,68.400002
7520,94.629997
7530,99
7600,68.400002
7620,57.709999
7640,57.709999
7900,68.400002
7920,57.709999
7930,57.709999
7990,57.709999
8110,89.309998
8130,89.309998
8200,89.309998
8220,89.309998
8230,89.309998
8250,89.309998
8490,89.309998
9010,89.309998
9150,89.309998
9999,71.93
11000,71.769997
11010,71.769997
11020,71.769997
12000,99
12100,99
12110,99
12200,99
12210,99
12310,99
12400,99
12410,99
12900,99
12910,99
13000,80.419998
13020,67.459999
13030,80.419998
13100,99
13130,99
13140,99
13170,99
13175,99
13190,99
13200,88.440002
13215,87.209999
13220,87.209999
13230,87.209999
13250,81.440002
13260,87.209999
13270,87.209999
13275,87.209999
13280,87.209999
13290,87.209999
13320,65.57
13390,69.220001
13420,81.190002
13490,81.190002
13590,81.190002
13900,81.190002
13940,81.669998
13950,81.669998
13960,81.190002
13990,74.480003
14100,96.559998
14120,99
14130,65.260002
14140,99
14190,96.559998
14990,64.599998
15120,76.239998
15900,76.879997
15915,91.190002
15920,76.599998
15930,79.650002
15945,79.650002
15950,79.650002
15960,76.239998
15990,79.650002
16000,66.099998
16100,65.089996
16120,66.050003
16130,76.519997
16150,66.099998
16160,72.150002
16190,67.989998
16200,66.099998
16220,67.989998
16230,66.099998
16240,67.989998
16250,66.080002
16300,67.989998
16310,66.099998
16350,67.989998
16360,66.099998
17000,59.299999
17100,70.169998
17120,70.169998
17130,59.029999
17135,59.299999
17140,59.029999
17145,59.029999
17150,59.299999
17190,59.029999
17200,59.299999
17220,59.299999
17230,59.299999
17300,59.299999
17320,59.299999
17340,59.029999
17420,59.299999
17490,59.029999
17530,59.029999
17540,59.029999
17590,59.029999
17900,59.299999
17920,47.369999
17940,59.299999
17990,58.18
18000,59.299999
18020,59.299999
18050,59.029999
18090,59.299999
19100,89.309998
19120,89.309998
19130,89.309998
19140,89.309998
19190,89.309998
19200,89.309998
19250,89.309998
19290,89.309998
19300,89.309998
19320,89.309998
19390,89.309998
19400,89.309998
19420,89.309998
19430,89.309998
19490,89.309998
19500,89.309998
19520,89.309998
19530,89.309998
19540,89.309998
19900,89.309998
19950,89.309998
19960,89.309998
19990,89.309998
20100,99
20110,99
20200,92.769997
20210,92.769997
21000,71.599998
21100,88.220001
21110,88.220001
21200,88.220001
21220,67.419998
21230,89.309998
21240,68.75
21300,63.07
21320,64.669998
21340,64.900002
21420,89.309998
