org_id,org_name,org_comment,org_prefix,status,sector,industry,occupation,hisco
2,Abbauer,,,,A,1,abbauer,61110
22,Achtelhufner,,,,A,1,achtelhufner,61110
24,Ackerbürger,,,,A,1,ackerbürger,61110
25,Ackerer,,,,A,1,ackerer,61110
26,Ackerpächter,,,,A,1,ackerpächter,61110
27,Ackersmann,,,,A,1,ackersmann,61110
28,Ackerwirth,,,,A,1,ackerwirth,61110
87,Amtmann,Gutsbesitzer oder Pächter,,,A,1,amtmann,61110
88,Ober-Amtmann,Gutsbesitzer oder Pächter,,,A,1,ober-amtmann,61110
107,Amtsrath,Gutsbesitzer oder Pächter,,,A,1,amtsrath,61110
120,Anbauer,,,,A,1,anbauer,61110
172,Arröer,,,,A,1,arröer,61110
177,Artmann,,,,A,1,artmann,61110
334,Bauer,,,,A,1,bauer,61110
342,Baumann,Ackerbürger,,,A,1,baumann,61110
412,Bestandschäfer,Schafhalter,,,A,1,bestandschäfer,61110
583,Bockhalter,,,,A,1,bockhalter,61110
662,Brinkbesitzer,,,,A,1,brinkbesitzer,61110
663,Brinksitzer,,,,A,1,brinksitzer,61110
691,Brutanstalten,,,,A,1,brutanstalten,61110
716,Büdner,,,,A,1,büdner,61110
729,Bullenhalter,,,,A,1,bullenhalter,61110
730,Bullenpächter,,,,A,1,bullenpächter,61110
973,Domänenpächter,,,,A,1,domänenpächter,61110
1060,Eigenkäthner,,,,A,1,eigenkäthner,61110
1226,Erbgutsbesitzer,,,,A,1,erbgutsbesitzer,61110
1227,Erbleihpächter,,,,A,1,erbleihpächter,61110
1228,Erbleihsitzer,,,,A,1,erbleihsitzer,61110
1229,Erbpächter,,,,A,1,erbpächter,61110
1230,Erbsaß,,,,A,1,erbsaß,61110
1232,Erbzinsmann,,,,A,1,erbzinsmann,61110
1233,Erbzinspächter,,,,A,1,erbzinspächter,61110
1234,Erdbeerbauer,,,,A,1,erdbeerbauer,61110
1235,Erdbeerzüchter,,,,A,1,erdbeerzüchter,61110
1315,Farrenhalter,,,,A,1,farrenhalter,61110
1316,Fasanenjäger,,,c,A,4,fasanenjäger,63230
1317,Fasanenmeister,,,b,A,4,fasanenmeister,63230
1318,Fasanenwärter,,,c,A,4,fasanenwärter,63230
1319,Fasaneriewächter,,,c,A,4,fasaneriewächter,63230
1320,Faselhalter,,,,A,1,faselhalter,61110
1577,Freihäusler,,,,A,1,freihäusler,61110
1578,Freisasse,,,,A,1,freisasse,61110
1604,Gärtner,kleiner Landwirth,,,A,1,gärtner,61110
1723,Geflügelzüchter,,,,A,1,geflügelzüchter,61110
1763,Gemüsebauer,kleiner Landwirth,,,A,1,gemüsebauer,61110
1764,Gemüsegärtner,kleiner Landwirth,,,A,1,gemüsegärtner,61110
1852,Gestütsdirektor,,,,A,1,gestütsdirektor,61110
1853,Gestütsinhaber,,,,A,1,gestütsinhaber,61110
1854,Gestütsmeister,,,,A,1,gestütsmeister,61110
1855,Gestütsvorsteher,,,,A,1,gestütsvorsteher,61110
1989,Großbüdner,,,,A,1,großbüdner,61110
1991,Großkossäthe,,,,A,1,großkossäthe,61110
1992,Großkossat,,,,A,1,großkossat,61110
1998,Grundbesitzer,,,,A,1,grundbesitzer,61110
2031,Gütler,,,,A,1,gütler,61110
2046,Gutsadministrator,,,,A,1,gutsadministrator,61110
2047,Gutsbesitzer,,,,A,1,gutsbesitzer,61110
2048,Gutsherr,,,,A,1,gutsherr,61110
2049,Gutspächter,,,,A,1,gutspächter,61110
2082,Häcker,Weinbauer,,,A,1,häcker,61110
2092,Häusler,,,,A,1,häusler,61110
2105,Halbbauer,,,,A,1,halbbauer,61110
2106,Halbbüdner,,,,A,1,halbbüdner,61110
2108,Halbhäusler,,,,A,1,halbhäusler,61110
2110,Halbhufner,,,,A,1,halbhufner,61110
2111,Halbinste,,,,A,1,halbinste,61110
2112,Halbkäthner,,,,A,1,halbkäthner,61110
2113,Halbkossäthe,,,,A,1,halbkossäthe,61110
2114,Halbkossat,,,,A,1,halbkossat,61110
2115,Halbmeier,,,,A,1,halbmeier,61110
2116,Halbpächter,,,,A,1,halbpächter,61110
2117,Halbspänner,,,,A,1,halbspänner,61110
2174,Haubergsbesitzer,,,,A,1,haubergsbesitzer,61110
2229,Hauswirth,Ackerbürger,,,A,1,hauswirth,61110
2260,Hengsthalter,,,,A,1,hengsthalter,61110
2277,Heuerling,Pächter,,,A,1,heuerling,61110
2278,Heuermann,Pächter,,,A,1,heuermann,61110
2281,Hintersasse,,,,A,1,hintersasse,61110
2291,Hofbauer,,,,A,1,hofbauer,61110
2295,Hofbesitzer,,,,A,1,hofbesitzer,61110
2301,Hofgutspächter,,,,A,1,hofgutspächter,61110
2326,Hofpächter,,,,A,1,hofpächter,61110
2423,Hopfenbauer,,,,A,1,hopfenbauer,61110
2424,Hopfengärtner,,,,A,1,hopfengärtner,61110
2445,Hühnerhofhalter,,,,A,1,hühnerhofhalter,61110
2468,Hufenbesitzer,,,,A,1,hufenbesitzer,61110
