occupation,hisco,STATUS,PRODUCT,RELATION,id,comment,title_hisco,checking_needed,RANK,SECTOR,INDUSTRY,drop,engl_descr
schiffszeugmeister,,,,,,,,,,,,,
garnspuler,,,,,,,,,,,,,
fürstbischhoflicher delegat,,,,,,,,,,,,,
fabrik von tierköpfen,,,,,,,,,,,,,
teerfabrik,,,,,,,,,,,,,
pechfabrik,,,,,,,,,,,,,
mühlensekretär,,,,,,,,,,,,,
hornpresser,,,,,,,,,,,,,
lederpresser,,,,,,,,,,,,,
modellinspektor,81940,,,,0,,Wooden Model Maker,1,b,E,2,0,
heilmeister,,,,,,,,,,,,,
haarbuschfabrik,,,,,,,,,,,,,
buchmacher,59920,,,,0,,Bookmaker (Sport),0,,C,2,0,
brückenwaagenfabrikant,,,,,,,,,,,,,
geschirrschläger,,,,,,,,,,,,,
zollpächter,,,,,,,,,,,,,
commis,,,,,,,,,,,,,
eiskellereibesitzer,,"Owner, proprietor",,,,,,,,,,,
repräsentant,,,,,,,,,,,,,
fahnarbeiter,,,,,,,,,,,,,
naturalist,,,,,,,,,,,,,
nutzholzmeister,,,,,,,,,,,,,
avertisseur,,,,,,,,,,,,,
leichenkommissarius,41040,,,,0,,Working Proprietor (Hiring Out),0,c,E,2,0,
bindenfabrikant,,,,,,,,,,,,,
verzierungsausschneider,,,,,,,,,,,,,
salzwärter,,,,,,,,,,,,,
mechanischer künstler,,,,,,,,,,,,,
stereoskopenfabrikant,,,,,,,,,,,,,
inhaberin eines versorgungsbüros,,,,,,,,,,,,,
blockfabrikant,,,,,,,,,,,,,
psychologe,,,,,,,,,,,,,
balgenfabrikant,,,,,,,,,,,,,
kirchenvorsteher,,,,,,,,,,,,,
openhauswächter,58940,,,,,,Watchman,0,,,,,
münzmechaniker,,,,,,,,,,,,,
fahlmeister,,,,,,,,,,,,,
grubenbesitzer,,,,,,,,,,,,,
viehkrugbesitzer,,,,,,,,,,,,,
regierungsassistent,31000,,,,0,,"Government Executive Official, Specialisation Unknown",0,b,E,2,0,
gipsgießereibesitzer,,"Owner, proprietor",,,0,,,1,,,,0,
gipsgießer,,,,,0,,,1,,,,0,
