,num,lang,hisco,occupation
0,1,,,unknown
1,2,,,unknown
2,3,Dutch,58320,1e luitenant ingenieur
3,4,Dutch,58320,1e luitenant kwartiermeester
4,5,Dutch,58340,1e schiemansmaat bij de zeemacht
5,6,Dutch,98140,1e schiemansmaat bij de zeemacht
6,7,Dutch,58340,1e schiemansmaat bij zeemagt
7,8,Dutch,98140,1e schiemansmaat bij zeemagt
8,9,Dutch,58340,1e sciemansmaat bij 's rijks zeemagt
9,10,Dutch,98140,1e sciemansmaat bij 's rijks zeemagt
10,11,Norwegian,04230,1ste styrmand seilskib
11,12,Portugese,98290,1ºmaquinista (barcos)
12,13,Portugese,98290,1ºmotorista (barcos)
13,14,Norwegian,04230,2den styrmand
14,15,Norwegian,04230,2den styrmand seilskib
15,16,Dutch,58320,2e luitenant veldartillerie
16,17,Portugese,98290,2ºmaquinista (barcos)
17,18,Portugese,98290,2ºmotorista (barcos)
18,19,Spanish,99930,A la fábrica
19,20,Catalan,99930,A la fàbrica
20,21,Danish,64100,Aalefisker
21,22,Dutch,02140,aanlegger van tuinen
22,23,Dutch,21240,Aannemer
23,24,Dutch,21240,aannemer van publieke werken
24,25,Dutch,59220,Aanspreker
25,26,Dutch,77960,aardappelensiroopfabr.
26,27,Dutch,97400,aardewerker
27,28,Dutch,97400,aardwerker
28,29,Danish,06100,Aarelader
29,30,Dutch,57090,aaruikmaker
30,31,Spanish,06510,Abacero
31,32,Catalan,75655,Abastanador
32,33,Spanish,41020,Abastecedores
33,34,Catalan,41020,Abastidors
34,35,Spanish,75655,Abatanador
35,36,French,91090,Abatjouriste
36,37,French,77320,Abatteur
37,38,Danish,14120,Abbed
38,39,Danish,14120,Abbedisse
39,40,German,77390,Abdecker
40,41,Portugese,81925,Abegão
41,42,Spanish,12110,Abogado
42,43,Portugese,79990,Abotoeiro
43,44,Portugese,75130,Abridor
44,45,Portugese,72125,Abridor (ind.metal)
45,46,Portugese,92950,Abridor de estampas
46,47,Portugese,75130,Abridor de estopa
47,48,Spanish,75600,Acabador
48,49,Portugese,79340,Acabador (chapelaria)
49,50,Portugese,75690,Acabador (ind.têxtil)
50,51,Portugese,89590,Acabador (ind.vidro)
51,52,Portugese,45220,Açacal
52,53,Portugese,97125,Acarretador do azeite
53,54,Catalan,75600,Acavador
54,55,French,17490,accessoiriste
55,56,Swedish,92110,Accidenstryckare
56,57,Swedish,92110,Accidenstryckareänka
57,58,Swedish,21220,Accidenstryckeriinnehavare
58,59,German,99999,Accisor
59,60,French,98100,acconier
60,61,French,98100,acconier (chalandier)
61,62,French,17140*,Accordéoniste
62,64,French,94180,Accordeur de piano
63,65,French,94180,accordeur de pianos
64,66,French,94181,accordeur de pianos
65,67,French,94180,Accordeur et Professeur de piano
66,68,French,94182,accordeur et professeur piano
67,69,French,07310*,Accoucheuse
68,71,Dutch,11010,Accountant
69,72,English,11010,Accountant
70,73,Dutch,33110,Accountant
71,74,English,33110,Accountant
72,75,German,88030,Achatschleifer
73,76,French,42220,acheteur
74,77,French,42220,acheteur au service achat péchiney
75,78,French,42220,acheteur aux magasins du louvre
76,79,French,42230,Acheteur aux magasins du Louvre
77,80,French,42220,acheteur commercial
78,81,French,42220,acheteur sigma
79,82,Portugese,64130,Acidadeiro
80,83,French,99999,Acideur
81,84,French,99999,aciers fins et spéciaux
82,85,German,61220,Ackerer
83,86,German,62210,Ackerknecht
84,87,German,61220,Ackermann
85,88,Swedish,83410,Ackumulatorskötare
86,89,Swedish,07310,Ackuschörska
87,90,Swedish,07410,Ackuschörska
88,91,Swedish,44120,Ackvisitör
89,92,Portugese,77310,Açougueiro
90,93,English,11010,Acountant
91,94,French,17540*,Acrobate
92,96,French,17320,acteur
93,97,French,17321,acteur de cinéma
94,98,French,17320,Acteur de théâtre
95,99,French,17322,acteur de théâtre
96,100,French,99999,Actionnaire
